keyword,title,link,authors,journal,year,snippet,full_abstract,pdf_url
chess,"A general reinforcement learning algorithm that masters chess, shogi, and Go through self-play",https://www.science.org/doi/abs/10.1126/science.aar6404,"D Silver, T Hubert, J Schrittwieser, I Antonoglou, M Lai…",Science,2018,"… games of chess and shogi (Japanese chess), as well as Go. The study of computer chess is … Neumann devised hardware, algorithms, and theory to analyze and play the game of chess. …",,https://www.science.org/doi/pdf/10.1126/science.aar6404?
chess,"Mastering atari, go, chess and shogi by planning with a learned model",https://www.nature.com/articles/s41586-020-03051-4,"J Schrittwieser, I Antonoglou, T Hubert, K Simonyan…",Nature,2020,"… function for Go, chess and shogi is represented similarly to AlphaZero 5 . In Go and shogi, we encode the last eight board states as in AlphaZero; in chess, we increased the history to …",,https://arxiv.org/pdf/1911.08265
chess,Perception in chess,https://www.sciencedirect.com/science/article/pii/0010028573900042,"WG Chase, HA Simon",Cognitive psychology,1973,This paper develops a technique for isolating and studying the perceptual structures that chess players perceive. Three chess players of varying strength — from master to novice — …,,https://andymatuschak.org/prompts/Chase1973.pdf
chess,Chess: Contextual harnessing for efficient sql synthesis,https://arxiv.org/abs/2405.16755,"S Talaei, M Pourreza, YC Chang, A Mirhoseini…",arXiv preprint arXiv …,2024,"… CHESS … CHESS can be customized to meet performance requirements while adhering to these constraints. To address the challenge of complex industrial database schemas, CHESS …",,https://arxiv.org/pdf/2405.16755
chess,Mastering chess and shogi by self-play with a general reinforcement learning algorithm,https://arxiv.org/abs/1712.01815,"D Silver, T Hubert, J Schrittwieser, I Antonoglou…",arXiv preprint arXiv …,2017,"… of chess and shogi (Japanese chess) as well as Go, and convincingly defeated a world-champion program in each case. The study of computer chess is as … and play the game of chess. …",,https://arxiv.org/pdf/1712.01815
chess,Neural networks for chess,https://arxiv.org/abs/2209.01506,D Klein,arXiv preprint arXiv:2209.01506,2209,… chess genius completely misjudged the situation? We can only speculate but it seems he assessed the chess engine purely from a chess … chess program Fritz to train and assess chess …,,https://arxiv.org/pdf/2209.01506
chess,Training with AI: Evidence from chess computers,https://sms.onlinelibrary.wiley.com/doi/abs/10.1002/smj.3512,"F Gaessler, H Piezunka",Strategic Management Journal,2023,"… from chess computers, the first widespread incarnation of AI. Leveraging the staggered diffusion of chess computers, we find that they did indeed help chess … We also illustrate that chess …",,https://sms.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smj.3512
chess,Elephants don't play chess,https://www.sciencedirect.com/science/article/pii/S0921889005800259,RA Brooks,Robotics and autonomous systems,1990,There is an alternative route to Artificial Intelligence that diverges from the directions pursued under that banner for the last thirty some years. The traditional approach has emphasized …,,https://www2.cs.sfu.ca/~vaughan/teaching/894/papers/elephants.pdf
chess,Molecular chess? Hallmarks of anti-cancer drug resistance,https://link.springer.com/article/10.1186/s12885-016-2999-1,"IA Cree, P Charlton",BMC cancer,2017,"Background The development of resistance is a problem shared by both classical chemotherapy and targeted therapy. Patients may respond well at first, but relapse is inevitable for …",,https://link.springer.com/content/pdf/10.1186/s12885-016-2999-1.pdf
chess,CHESS: a new human gene catalog curated from thousands of large-scale RNA sequencing experiments reveals extensive transcriptional noise,https://link.springer.com/article/10.1186/s13059-018-1590-2,"M Pertea, A Shumate, G Pertea, A Varabyou…",Genome biology,2018,"We assembled the sequences from deep RNA sequencing experiments by the Genotype-Tissue Expression (GTEx) project, to create a new catalog of human genes and transcripts, …",,https://link.springer.com/content/pdf/10.1186/s13059-018-1590-2.pdf
chess,Quantifying human performance in chess,https://www.nature.com/articles/s41598-023-27735-9,"S Chowdhary, I Iacopini, F Battiston",Scientific Reports,2023,"… In this work we focus on individual careers in the competitive sport of chess. Moreover, chess … Besides, the volume of online chess games freely available for analyses (several billions), …",,https://www.nature.com/articles/s41598-023-27735-9.pdf
chess,The relationship between cognitive ability and chess skill: A comprehensive meta-analysis,https://www.sciencedirect.com/science/article/pii/S0160289616301593,"AP Burgoyne, G Sala, F Gobet, BN Macnamara…",Intelligence,2016,"Why are some people more skilled in complex domains than other people? Here, we conducted a meta-analysis to evaluate the relationship between cognitive ability and skill in chess. …",,https://eprints.lse.ac.uk/102241/1/INTELL_2016_117_The_Relationship_between_Cognitive_Ability_and_Chess_Skill_a_Comprehensive_Meta_Analysis.pdf?ref=offerspill.com
chess,Aligning superhuman ai with human behavior: Chess as a model system,https://dl.acm.org/doi/abs/10.1145/3394486.3403219,"R McIlroy-Young, S Sen, J Kleinberg…",Proceedings of the 26th …,2020,"… better chess than the human it is trying to predict. Depth-limiting classic chess engines thus … granular human behavior in chess, in line with the anecdotal experience of chess players. In …",,https://dl.acm.org/doi/pdf/10.1145/3394486.3403219
chess,Learning models of individual behavior in chess,https://dl.acm.org/doi/abs/10.1145/3534678.3539367,"R McIlroy-Young, R Wang, S Sen, J Kleinberg…",Proceedings of the 28th …,2022,"… Chess [58], and provides the code infrastructure that we leverage to build our models. The second, Maia Chess… a particular rating level will make in a given chess position [43]. Maia can …",,https://dl.acm.org/doi/pdf/10.1145/3534678.3539367
chess,The cost of severe haemophilia in Europe: the CHESS study,https://link.springer.com/article/10.1186/s13023-017-0660-y,"J O'Hara, D Hughes, C Camp, T Burke, L Carroll…",Orphanet journal of rare …,2017,… The overall aim of the ‘Cost of Haemophilia in Europe: a Socioeconomic Survey’ (CHESS) … The CHESS study highlights the benefits of observational study methodologies in capturing …,,https://link.springer.com/content/pdf/10.1186/s13023-017-0660-y.pdf
chess,Templates in chess memory: A mechanism for recalling several boards,https://www.sciencedirect.com/science/article/pii/S0010028596900110,"F Gobet, HA Simon",Cognitive psychology,1996,"This paper addresses empirically and theoretically a question derived from the chunking theory of memory (Chase & Simon, 1973a, 1973b): To what extent is skilled chess memory …",,https://bura.brunel.ac.uk/bitstream/2438/1339/1/Multiple_boards.pdf
chess,The mind's eye in chess,https://www.sciencedirect.com/science/article/pii/B9780121701505500111,"WG Chase, HA Simon",Visual information processing,1973,"Publisher Summary This chapter describes the progress made toward understanding chess skill. It describes the work on perception in chess, adding some new analyses of the data. It …",,
chess,Deepchess: End-to-end deep neural network for automatic learning in chess,https://link.springer.com/chapter/10.1007/978-3-319-44781-0_11,"OE David, NS Netanyahu, L Wolf",International Conference on Artificial …,2016,"We present an end-to-end learning method for chess, relying on deep neural networks. Without any a priori knowledge, in particular without any knowledge regarding the rules of chess, …",,https://arxiv.org/pdf/1711.09667
chess,Gambit: An autonomous chess-playing robotic system,https://ieeexplore.ieee.org/abstract/document/5980528/,"C Matuszek, B Mayton, R Aimi…",… on robotics and …,2011,"This paper presents Gambit, a custom, mid-cost 6-DoF robot manipulator system that can play physical board games against human opponents in non-idealized environments. …",,https://wiki.bitplan.com/images/wiki/b/ba/Gambit_An_autonomous_chess-playing_robotic_system.pdf
chess,"Immersion, presence and performance in virtual environments: An experiment with tri-dimensional chess",https://dl.acm.org/doi/abs/10.1145/3304181.3304216,"M Slater, V Linakis, M Usoh, R Kooper",Proceedings of the ACM …,1996,"This paper describes an experiment to assess the influence of immersion on performance in immersive virtual environments. The task involved Tri-Dimensional Chess, and required …",,https://dl.acm.org/doi/pdf/10.1145/3304181.3304216
chess,Chess-playing programs and the problem of complexity,https://ieeexplore.ieee.org/abstract/document/5392645/,"A Newell, JC Shaw, HA Simon",IBM Journal of Research and …,1958,"… will play chess. We think instead of chess programs: specifications written in a language, called machine code, that will instruct a digital computer of standard design how to play chess. …",,https://mirrors.meulie.net/bitsavers.org/pdf/ibm/IBM_Journal_of_Research_and_Development/024/ibmrd0204I.pdf
chess,ChESS–Quick and robust detection of chess-board features,https://www.sciencedirect.com/science/article/pii/S1077314213001999,"S Bennett, J Lasenby",Computer Vision and Image Understanding,2014,"… and Summation’ (ChESS) feature detector, designed to exclusively respond to chess-board … no prior knowledge of the extent of the chess-board pattern, is computationally very efficient, …",,https://arxiv.org/pdf/1301.5491
chess,Cognitive benefits of chess training in novice children,https://www.sciencedirect.com/science/article/pii/S1877042814003450,"F Gliga, PI Flesner",Procedia-Social and Behavioral Sciences,2014,"The present study aim demonstrate of role chess training has on school performance, memory, sustained attention and creativity. A group of 20 novice primary school students took part …",,https://www.sciencedirect.com/science/article/pii/S1877042814003450/pdf?md5=71fd56a1b4b998d153ffc82a360a5693&pid=1-s2.0-S1877042814003450-main.pdf
chess,Learning efficient classification procedures and their application to chess end games,https://www.sciencedirect.com/science/article/pii/B9780080510545500194,JR Quinlan,Machine learning,1983,"A series of experiments dealing with the discovery of efficient classification procedures from large numbers of examples is described, with a case study from the chess end game king-…",,
chess,Skill in chess,https://link.springer.com/chapter/10.1007/978-1-4757-1968-0_18,"H Simon, W Chase",Computer chess compendium,1988,… Chess has proved to be an excellent model environment for this purpose. About a decade … A part of our article was devoted to a theory of the processes that expert chess players use in …,,
chess,Reimagining chess with AlphaZero,https://dl.acm.org/doi/abs/10.1145/3460349,"N Tomašev, U Paquet, D Hassabis…",Communications of the …,2022,"… What would chess have been like had castling not been incorporated into the rules? Without recourse to repeating history, we reimagine chess and address such questions in …",,https://dl.acm.org/doi/pdf/10.1145/3460349
chess,The perceptual aspect of skilled performance in chess: Evidence from eye movements,https://link.springer.com/article/10.3758/bf03206384,"N Charness, EM Reingold, M Pomplun, DM Stampe",Memory & cognition,2001,"… In order to examine these early perceptual encoding processes, we required chess players at different skill levels to choose the best move for simple, tactically active chess positions …",,https://link.springer.com/content/pdf/10.3758/BF03206384.pdf
chess,Chess 4.5: The northwestern university chess program,https://link.springer.com/content/pdf/10.1007/978-1-4757-1968-0_9?pdf=chapter%20toc,"D Slate, L Atkin",Computer chess compendium,1977,"… program, comprising CHESS 4.0 and the minor improvements that have led to CHESS 4.5. … which in terms of chess-playing methods was not very different from CHESS 3.6, but which in …",,https://link.springer.com/content/pdf/10.1007/978-1-4757-1968-0_9?pdf=chapter%20toc
chess,Do the benefits of chess instruction transfer to academic and cognitive skills? A meta-analysis,https://www.sciencedirect.com/science/article/pii/S1747938X16300112,"G Sala, F Gobet",Educational research review,2016,… Chess instruction has been proposed as one way to remedy … that skills acquired during chess instruction in schools positively … 2788 young people in the chess condition and 2433 in the …,,
